Объект; Место; Дата; Направление; Позиция; X; Y; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  1.0м ; 2625 ″; -1507 ″; 
Звенигород; ПИ_2; 28.06.2024  18:27:03;  Back;  0.5м ; -261 ″; -911 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:00:12;  Forward;  0.5м ; -111297 ″; -195023 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:00:12;  Forward;  1.0м ; -111298 ″; -195024 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  25.5м ; -4296 ″; 5903 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  25.0м ; -4256 ″; 5864 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  24.5м ; -3958 ″; 5637 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  24.0м ; -3495 ″; 5427 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  23.5м ; -3418 ″; 5516 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  23.0м ; -3158 ″; 5631 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  22.5м ; -2691 ″; 4715 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  22.0м ; -2118 ″; 3656 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  21.5м ; -2647 ″; 3660 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  21.0м ; -2698 ″; 3585 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  20.5м ; -2137 ″; 3070 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  20.0м ; -1571 ″; 2562 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  19.5м ; -2224 ″; 4069 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  19.0м ; -1235 ″; 3688 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  18.5м ; -615 ″; 3478 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  18.0м ; -139 ″; 3419 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  17.5м ; -130 ″; 3813 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  17.0м ; -251 ″; 3895 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  16.5м ; -676 ″; 3940 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  16.0м ; -1339 ″; 4086 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  15.5м ; -2094 ″; 4005 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  15.0м ; -2790 ″; 3537 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  14.5м ; -3690 ″; 3320 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  14.0м ; -4528 ″; 3439 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  13.5м ; -5076 ″; 3289 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  13.0м ; -4710 ″; 3573 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  12.5м ; -4199 ″; 3414 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  12.0м ; -3867 ″; 3310 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  11.5м ; -3582 ″; 2665 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  11.0м ; -2976 ″; 1926 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  10.5м ; -4117 ″; 2276 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  10.0м ; -4091 ″; 2419 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  9.5м ; -2531 ″; 2075 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  9.0м ; -1087 ″; 1949 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  8.5м ; 318 ″; 1718 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  8.0м ; 1383 ″; 1512 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  7.5м ; 810 ″; 2220 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  7.0м ; 188 ″; 2831 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  6.5м ; 231 ″; 2656 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  6.0м ; -24 ″; 2287 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  5.5м ; 304 ″; 1563 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  5.0м ; 569 ″; 1013 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  4.5м ; 532 ″; 609 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  4.0м ; -177 ″; 647 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  3.5м ; -643 ″; 959 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  3.0м ; -1059 ″; 993 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  2.5м ; -1848 ″; 1398 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  2.0м ; -2147 ″; 2174 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  1.5м ; -2228 ″; 2584 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  1.0м ; -2178 ″; 2498 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  0.5м ; -1640 ″; 2010 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Forward;  0.0м ; -1018 ″; 1544 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  25.5м ; 1279 ″; 1738 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  25.0м ; 1249 ″; 1953 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  24.5м ; 1026 ″; 2225 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  24.0м ; 469 ″; 2429 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  23.5м ; 334 ″; 2414 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  23.0м ; 221 ″; 2010 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  22.5м ; -242 ″; 3195 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  22.0м ; -840 ″; 4264 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  21.5м ; -397 ″; 4209 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  21.0м ; -351 ″; 4328 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  20.5м ; -783 ″; 4800 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  20.0м ; -1277 ″; 5350 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  19.5м ; -1107 ″; 3708 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  19.0м ; -1765 ″; 4257 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  18.5м ; -2579 ″; 4487 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  18.0м ; -2910 ″; 4498 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  17.5м ; -2896 ″; 4196 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  17.0м ; -2706 ″; 4016 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  16.5м ; -2399 ″; 3865 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  16.0м ; -1656 ″; 3776 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  15.5м ; -932 ″; 3971 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  15.0м ; -268 ″; 4367 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  14.5м ; 638 ″; 4621 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  14.0м ; 1386 ″; 4478 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  13.5м ; 2082 ″; 4132 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  13.0м ; 1797 ″; 4367 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  12.5м ; 1111 ″; 4450 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  12.0м ; 881 ″; 4666 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  11.5м ; 459 ″; 5290 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  11.0м ; -204 ″; 6005 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  10.5м ; 1192 ″; 5316 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  10.0м ; 990 ″; 5511 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  9.5м ; -428 ″; 5932 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  9.0м ; -1940 ″; 5928 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  8.5м ; -3323 ″; 6182 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  8.0м ; -4441 ″; 6451 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  7.5м ; -3762 ″; 5307 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  7.0м ; -3281 ″; 5062 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  6.5м ; -3254 ″; 5254 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  6.0м ; -2911 ″; 5576 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  5.5м ; -3299 ″; 6323 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  5.0м ; -3695 ″; 6884 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  4.5м ; -3493 ″; 7170 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  4.0м ; -2882 ″; 7254 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  3.5м ; -2429 ″; 7001 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  3.0м ; -2008 ″; 6872 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  2.5м ; -1254 ″; 6567 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  2.0м ; -868 ″; 5756 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  1.5м ; -907 ″; 5361 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  1.0м ; -756 ″; 5402 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  0.5м ; -1274 ″; 5904 ″; 
Сахалин. дорога; Скважина 13и; 13.08.2024  02:12:53;  Back;  0.0м ; -1688 ″; 6104 ″; 
